id,tagline,occurrence,publication,lin,summary,recommendations,location
RO-2008-106,"Report 09-103: Passenger Train 1608, collision with slip and derailment, Tunnel 1, Wairarapa Line, Maymorn, 23 July 2009 (incorporating investigation 08-106, collision with slip and derailment on the Johnsonville Line)
",23 Jul 2008,28 Oct 2010,08-106,"On the evening of Thursday 23 July 2009, the Wellington region was experiencing a storm that brought heavy rain and strong winds. At 1817, a scheduled commuter train travelling from Wellington to Masterton with approximately 240 passengers and crew in 5 carriages, collided with a slip that partially blocked the northern portal of Tunnel 1 on the Wairarapa Line. This point was about 4 km north of Upper Hutt station and about 1 km before the Maymorn station. The locomotive and generator carriage were embedded in the slip and derailed, while the remaining carriages were still on the track but standing within the tunnel. Emergency services were called to rescue the passengers and crew. The damage to the train was minimal and no injuries were reported. The Wairarapa Line was closed for approximately 5 days while the mud was cleared and the track repaired. Police assumed management of the accident’s rescue phase using the New Zealand Coordinated Incident Management System (CIMS) and activated a full tunnel response. The locomotive from a following Masterton-bound passenger train was used to haul the rear 3 carriages from the disabled train back to Upper Hutt with all passengers on board. The landslide had occurred suddenly, less than one hour before the train collided with it. It had partially blocked the northern end of Tunnel 1. The landslide was a first-time occurrence on a risk-prone slope that was covered in regenerating bush. The Transport Accident Investigation Commission determined that the landslide occurred from natural causes after 62 millimetres (mm) of rainfall fell in the area during a 6-hour period. Train 1608 had been travelling at normal speed when the driver saw the landslide, but he had had insufficient clear distance ahead to stop the train before impact. Network control had not warned the driver that the Wairarapa Line was subject to both ‘heavy rain’ and ‘strong wind’ warnings at the time. Network control had received an updated severe weather warning message to the active severe weather event 24 hours before the accident, but network control had not distributed this message and several following messages to area managers. Even if it had, the area manager for the Maymorn area would not have received them because he was new to the job and his contact details had not been recorded in the system. The track inspection regime was based upon checking specific items along the track, so was not capable of assessing the potential risk of slope failures, although this type of risk was common in the Wellington area and documented in a railway structures guidance manual. The severe weather warnings and track inspection systems, if followed, could have mitigated the consequences of a slip falling across the track but would not necessarily have prevented trains running into it. The passengers were kept in the carriages within the tunnel for some 3 hours. Improvements in the communications around the emergency response and rail recovery operations could have reduced this time by up to 30 minutes, but the recovery was safely coordinated and resulted in no injuries to the passengers and crew. The location of the derailment and the general disruption to transport services throughout the region due to the severe weather meant the response to this event was reasonable. Four safety recommendations have been made to the NZ Transport Agency to address issues around the track inspection process, the severe weather warning system and the National Rail System Standard (NRSS) for incident response. During the course of this inquiry, KiwiRail initiated several safety actions that were directly relevant to the Commission's findings. The safety actions are described in section 6 of this report and include the development of a slope hazard risk assessment for the rail network, improvements to the train control facilities and changes to the failure mode of the internal 'S' Car pneumatically operated passenger doors.",NA,Wadestown
RO-2008-107,"Report 08-102: Metro passenger train derailment, Sylvia Park, 14 April 2008 (incorporating inquiries 08-104 and 08-107) Diesel motor fires on board metro passenger trains, 3 June 2008 and 25 July 2008
",25 Jul 2008,29 Sep 2011,08-107,"On Monday 14 April 2008, a brake pad calliper fell from a wheel set on the fourth car of a DMU passenger train at Sylvia Park. The brake calliper fell across the rail and derailed one wheel set on the train. The train was stopped, but not before the wheel set, plus another that subsequently derailed, had re-railed. The brake calliper fell because the securing key had either failed or worked loose. Damage to the train was minimal and no-one was injured. On Tuesday 3 June 2008, and again on Friday 25 July 2008, fires broke out in the area of the diesel auxiliary motors fitted on DMU passenger trains while running scheduled services at Glen Eden and Waitakere respectively. On each occasion the train was stopped and the fire extinguished by the train crews with assistance from the New Zealand Fire Service in one incident, with minimal damage to the train and no persons injured. Both fires were seated on the top of the under-slung auxiliary motors. The Commission had investigated 3 previous auxiliary motor fire incidents since 2004 and found that cleanliness was an issue in all 3 incidents because oily residue that had accumulated on top of the motors had been ignited. The cause of all 3 incidents in this report stemmed from inadequate service and maintenance practices at the Auckland passenger vehicle maintenance depot located at Westfield (the maintenance depot). The maintenance depot was not delivering a maintenance regime that was in line with sound railway engineering practices, and although the maintenance depot had to cope with more and longer trains than those for which it had originally been designed for, it might have delivered a better level of maintenance if better systems had been in place. According to the Railways Act 2005 and rail participants’ safety cases, KiwiRail was responsible for maintaining the Auckland metro trains and the operator Veolia was responsible for monitoring KiwiRail’s performance to ensure that the trains were being maintained in accordance with sound railway engineering practices. The contractual arrangements between ARTA (the owner of the trains), Veolia (the operator of the trains) and KiwiRail (the maintainer of the trains) were consistent with the Railways Act 2005 and the National Rail System Standard (NRSS). A blurring of responsibilities around the contracts and a breakdown of relationships at that time at a senior management level in all 3 entities were hampering the effective execution of those contracts. Insufficient investment had been put into expanding and improving the efficiency of the then current maintenance facility at Westfield to cope with the planned increase in passenger rolling stock. KiwiRail has taken safety actions to address the specific maintenance issues contributing to the 3 incidents, and has also made significant modifications to the maintenance depot to improve its efficiency and level of safety. ARTA and KiwiRail have also allocated some stabling and servicing of the Auckland metro trains to other facilities around Auckland to alleviate the demands placed on the maintenance depot at Westfield. In view of the safety actions taken, the Transport Accident Investigation Commission (the Commission) has made no new safety recommendations. Key lessons: Oily residue or other combustible material that is allowed to accumulate on or around combustion motors is a fire hazard. Sound railway engineering practice and procedures are essential for safe and reliable rail rolling stock. Rail maintenance facilities should be designed and maintained for the purpose for which they were being used. Planning for future rail systems should include all aspects of the rail system, including how rolling stock was going to be maintained.",NA,Waitakere
RO-2008-108,"Express freight Train 845, track warrant overrun, Reefton - Cronadun, 13 August 2008
",13 Aug 2008,10 Dec 2009,08-108,"On Wednesday, 13 August 2008 at 0941, express freight Train 845, a westbound Lyttelton to Ngakawau empty coal service, overran its track warrant limit at Reefton. The locomotive engineer continued to drive the train for a further 8.75 kilometres before he realised what had happened and stopped the train. There were no conflicting movements or track engineering occupations. Two employees of the operator had been authorised to ride in the cab and were travelling with the locomotive engineer at the time to familiarise themselves with coal route operations. The investigation has determined that onboard discussion most likely distracted the locomotive engineer, meaning that he forgot the limit of his track warrant as it approached and passed. While the cab pass holders were properly authorised and the passes carried contained appropriate warnings, the locomotive engineer was the only person available to give the information they needed to fulfil the purpose of their trip, which left him vulnerable to distraction. The operator has revised its procedures following its own investigation into this incident. The Transport Accident Investigation Commission (the Commission) concluded that in spite of existing defences in the track warrant control system to prevent overruns, the system was still vulnerable to the weakest link, limitations of human performance. Previous safety recommendations the Commission has made about using advances in technology to mitigate the risk of track warrant overruns are equally applicable to this report.",NA,Reefton
RO-2008-109,"Passenger express Train 9113, platform overrun resulting in signal passed at danger, Fruitvale Road Station, North Auckland Line, 4 September 2008
",4 Sep 2008,23 Dec 2010,08-109,"On Thursday 4 September 2008 at about 0827, push/pull commuter passenger Train 9113, travelling on the Down Main North Auckland line from Waitakere to Britomart, overran Fruitvale Road Station platform. The train was travelling at 36 kilometres per hour (km/h) when it passed the end of the platform and had slowed to 31 km/h when it passed Stop and Proceed Signal 2097 displaying a Stop indication. The train was still travelling at 29 km/h when it entered Fruitvale Road level crossing, 38 metres (m) past the end of the platform and 27 m past Signal 2097. The train stopped with the rear door of the fourth carriage alongside the station platform. All doors on the platform side of the train were opened and alighting passengers were allowed to step down onto the track formation and the level crossing. The train continued on towards Britomart after those passengers waiting at the platform had boarded through the rear passenger car. Trains approaching Fruitvale Road Station on the Down Main line were restricted to a maximum speed of 65 km/h because of the track alignment. Therefore, the non-stopping approach distance for trains was 436 m from the Fruitvale Road kerb line to provide motorists with 24 seconds’ warning time on the flashing lights and bells and barrier arms protecting the level crossing. Because nearly all trains travelling on the Down Main line stopped at Fruitvale Road Station, a ""vital timer"" delay was set at 30 seconds to delay the activation of the flashing lights and bells. This time delay was built into the level crossing control system to minimise the waiting time for motorists while the train was stopped at the station for passenger work. The barrier arms at Fruitvale Road level crossing were fully extended into the horizontal position just as Train 9113 passed Signal 2097. The level crossing protection had been activated by Train 8110, approaching Fruitvale Road on the parallel Up Main line. Had Train 8110 entered Fruitvale Road level crossing more than 12 seconds later than it did, Train 9113 would have entered the level crossing with the flashing lights and bells having only been operating for 1.3 seconds and the barrier arms would still have been in the vertical position. The Commission has made a recommendation to the Chief Executive of the NZ Transport Agency to conduct a risk assessment of the level crossing control system at those locations where station platforms are located between level crossings and the start of level crossing approach track circuits. The platform overrun at Fruitvale Road Station was similar to other events investigated in Commission report 07-105. At the time of the overrun at Fruitvale Road Station, KiwiRail had not trained locomotive engineers in a ""best practice"" train handling technique for stopping push/pull passenger trains fitted with graduated release brakes. The Commission would have made such a recommendation had KiwiRail not developed an operating instruction and started retraining locomotive engineers.\",044/10,Fruitvale
RO-2008-110,"Train control operating irregularity, leading to potential low-speed, head-on collision, Amokura, 23 September 2008",23 Sep 2008,5 Aug 2010,08-110,"A train controller starting his morning shift on 23 September 2008 unknowingly planned to direct a freight train along a line that was occupied by another freight train, which was standing awaiting routing through an area where a signalling fault was under repair. He was not aware the second train was stationary on the line. A potential low-speed, head-on collision was avoided when the first train was subsequently routed along the adjacent line after the signal failure had been partially corrected. The existence of the second train was not known to the train controller because the senior controller in charge of the previous shift had omitted to record the movement of the train on the train control diagram, and it was not showing on the mimic screen in the national train control centre owing to the signal failure. Neither the current train controller, nor the previous controller and a trainee controller he was mentoring had noticed that the second train, which was a scheduled service, was not displayed on the train control system. The train controller who omitted to record the second train on the train control diagram was suffering from fatigue caused by an excessive planned and unplanned work roster that offered limited opportunity to sleep, in spite of his working hours closely conforming to the minimum requirements of the network service provider. Investigations into previous train control incidents have led to recommendations about the potential use of existing onboard train technology to give train control live tracking of train locations, which could have helped avoid this incident by showing the existence of the second train in spite of the signalling failure. KiwiRail management has introduced a new fatigue policy since the incident, and it has previously responded to fatigue related recommendations resulting from investigations into previous incidents. Since this incident the Transport Accident Investigation Commission has made 3 new recommendations to the rail regulator concerning train controller rostering, shift handover procedures and the retraining of train controllers after extended breaks from operating critical systems.","017/10, 018/10, 019/10",Amokura
RO-2008-111,"Express freight Train 524, derailment, near Puketutu, North Island Main Trunk, 3 October 2008
",3 Oct 2008,4 Aug 2011,08-111,"On Saturday 3 October 2008, the second-to-last wagon on express freight Train 524, wagon UK9007, conveying 2 loaded liquid petroleum gas (LPG) tanks, derailed between Puketutu and Te Kuiti on the NIMT while travelling around a 260-metre (m) radius right-hand curve at the posted line speed of 60 kilometres per hour (km/h). The locomotive engineer stopped the train after hearing an automated voice alert from a dragging equipment detector, located about 500 m past the point of derailment (POD). The derailed wagon remained upright and connected to the train. None of the other 27 wagons on the train derailed. The LPG tanks were examined and certified as safe by Fire Service personnel and a representative of the consignee before recovery work got underway. The cause of the derailment was attributed to a combination of the wagon condition and track condition. The Transport Accident Investigation Commission (Commission) has made previous safety recommendations to the regulator to adjust the allowable track and wagon maintenance tolerances to reduce the potential for derailments caused by dynamic interaction. The Commission has made one new safety recommendation in this report relating to the way with which temporary speed restrictions are set when multiple track geometry faults within a common section of track are identified.",018/11,Puketutu
RO-2008-112,"Safe working irregularity resulting in a collision and derailment at Cass crossing station on the Midland Line, 8 November 2008",8 Nov 2008,10 Mar 2011,08-112,"On Saturday 8 November 2008, eastbound express freight Train 848, conveying 30 loaded coal wagons, overran the fouling board2 on the main line during a scheduled crossing movement at Cass Station on the Midland Line. Westbound express freight Train 845 entered the loop before the locomotive engineer on Train 848 radioed to confirm that he had stopped his train short of the fouling board. The lead locomotive on Train 848 struck the second wagon on Train 845 and damaged the next 3 wagons before Train 845 was stopped by an automatic application of the train brakes after the train parted. The fourth and fifth wagons on Train 845 derailed. Neither locomotive engineer was injured. Following the collision, KiwiRail introduced revised operating procedures for the working of crossing stations in single-line automatic signalling (SLAS) territory on the Midland Line. No new safety recommendations have been made in this report. Safety recommendations made in a previous Transport Accident Investigation Commission Commission) report were relevant to this inquiry and when implemented will remove the potential for this type of accident at crossing stations.",NA,Cass
RO-2008-113,"Empty push/pull passenger Train 5250, collision with platform-end stop block, Britomart station, Auckland, 19 December 2008",19 Dec 2008,18 Mar 2010,08-113,"On 19 December 2008, Train 5250 was an empty push/pull service being repositioned to start passenger operations when it collided with the stop block at Britomart station, Auckland. Some damage occurred to the coupler on the front of the train and the stop block, but neither the locomotive engineer (driver) nor the train manager was injured. The primary factor contributing to the collision was the failure of an electrical contactor within the locomotive brake system that prevented the locomotive brakes applying. Safety issues discussed include the speed of the train during the approach to Britomart station and the use of a power braking technique during emergency stop applications.",006/10,Britomart
RO-2009-101,"(incorporating 08-105): express freight train derailments owing to the failure of bogie side frames, various locations on the North Island Main Trunk, between 21 June 2008 and 7 May 2009
",7 May 2009,21 Oct 2010,09-101,"Between 21 June 2008 and 7 May 2009, 3 express freight trains derailed at various locations on the North Island Main Trunk (NIMT) line. All 3 derailments were caused by the failure and collapse of bogie side frames on wagons. The side frame failures were all similar in that they started with a fatigue crack that propagated over a period of days rather than weeks, through the box section of the side frame, until the remaining material failed in overload during normal train operations. The side frame failures were also similar to previous side frame failures investigated and reported on by the Commission. The cracks started in an area that would have been difficult to detect during normal operational and maintenance wagon checks. The side frames sometimes lacked identifying marks and historically there had been no records kept of their age and maintenance history, so the operator had started a programme of magnetic particle inspections (MPIs) to detect the presence of fatigue cracking in the side frames when the bogies were brought in for overhaul. The inspection programme found over 4 years an average 60% of side frames with cracks that required repair. At the current inspection rate, all side frames will not be inspected before 2020. Until all side frames are tested for cracks and repaired, the potential for main-line derailments attributed to bogie side frame failures remains. Given the risk that main-line derailments pose to people and infrastructure, the Commission has made a recommendation to the Chief Executive of the NZ Transport Agency to conduct a risk assessment and if necessary require the inspection rate of side frames to be accelerated.",043/10,Hunterville
RO-2009-102,"Passenger fatality after falling between platform and passenger Train 8125, Newmarket West station, 1 July 2009
",1 Jul 2009,10 Mar 2011,09-102,"On Wednesday 1 July 2009, an elderly male passenger who was vision-impaired had just alighted from passenger Train 8125 on the Down platform at Newmarket West station. He was walking along the platform as the train left and he veered into the side of the moving train, spun around and fell through the gap between the train and the platform edge onto the track below. The passenger was fatally injured. No conclusive reason for the passenger veering into the side of the train could be established, but it was likely related to his impaired vision or, distraction, or a combination of both. The Transport Accident Investigation Commission (Commission) determined that the passenger exchange at Newmarket West station had been made in average time and in accordance with the operating company's procedures, and that it had been appropriate for the train to move away from the platform when it did. The design of the platform met the New Zealand and international guidelines for assisting vision-impaired and blind persons. Newmarket West station was a temporary constructed station pending the build of a new station at Newmarket, and consequently part of the Down platform was constructed on a curved section of track, which meant the gap between the train and the platform edge was wide enough for the passenger to fall through when he walked into the side of the train. The Commission determined that the gap was as small as practicably achievable within the physical constraints of the station, and that warning signage and operating procedures were reasonable defences against this type of accident occurring. No practicable safety recommendations were identified that would prevent this type of accident happening again, but the report notes that the trend towards an ageing population with a likely increase in mobility-impaired people travelling on public transport will require designers of transport systems to remain vigilant to this trend. The safety actions noted in this report acknowledge this trend and propose strategies to meet future demand. The 2 platforms (including an adjacent Up platform) at Newmarket West station were demolished during the 2009/2010 Christmas/New Year holiday period concurrent with the opening of the redeveloped Newmarket station.",NA,Newmarket
