ecom,tagline,occurrence,publication,lin,summary,recommendations,location
RO-2004-102,"Motor trolley, derailment, Lepperton, 25 January 2004",25 Jan 2004,25 Aug 2004,04-102,"On Sunday 25 January 2004, at about 1130, a consist of 3 motor trolleys coupled together was on a scenic ride on the Waitara Branch, when the trailing motor trolley, with a driver and 4 passengers on board, became detached from the consist and derailed. The driver and passengers were catapulted from the motor trolley when it came to an abrupt halt and slewed through 90 degrees. The driver and 3 of the passengers received moderate to serious injuries. The safety issues identified were: The coupling of motor trolleys together during revenue earning trips; The conveyance of passengers on motor trolleys without adequate constraints; The unlicensed operating of motor trolleys for fare paying passengers. One safety recommendation addressing these issues was made to the operator.","023/04, 024/04",Lepperton
RO-2004-103,"Shunting service Train P40, derailment, 43.55 km near Oringi, 16 February 2004",16 Feb 2004,8 Sep 2005,04-103,"On Monday 16 February 2004 at about 0250 Train P40, a Palmerston North to Oringi return shunting service, derailed when it ran into a washout at the 43.554 km, between Oringi and Woodville on the Palmerston North – Gisborne Line. Six wagons derailed and about 150 m of track were damaged. Surface water from intense rainfall ponded upstream of culverts at 43.554 km and 43.581 km and washed out about 5 m of track formation. There were no injuries. The safety issue identified was the running of trains in adverse weather conditions after special track inspections had ceased. One safety recommendation was made to the Chief Executive of ONTRACK.",072/05,Oringi
RO-2004-107,"Express freight Train 237, derailment, near Kopaki, 24 March 2004",24 Mar 2004,23 Mar 2005,04-107,"On Wednesday 24 March 2004, at about 0149, USQ 7663, the 27th wagon on southbound express freight Train 237, derailed while negotiating a left-hand curve between Puketutu and Kopaki on the North Island Main Trunk. The wagon ran derailed for about 750 m until it struck the spreader bar on the north-end facing points at Kopaki, derailing the following 4 wagons and parting the train between the 29th and 30th wagons. The condition of the trailing bogie of wagon USQ 7663 was a significant contributing factor to the derailment. Safety issues included: the fractured friction wedge springs; the identification and correction of displaced bearing adaptors; the assembly procedures for fitting wear liners to bolster wedge pockets; the identification of individual bogie components. Two safety recommendations were made to the Chief Executive of Toll NZ Consolidated Limited to address these issues.",093/04,Kopaki
RO-2004-109,"Passenger express Train 804, ""Tranz Alpine"", stalled and slid back, Otira Tunnel, 28 March 2004",28 Mar 2004,21 Jan 2005,04-109,"On Sunday 28 March 2004, at about 1541 shortly after entering the Otira Tunnel Train 804, the Greymouth to Christchurch Tranz Alpine passenger express, with 268 passengers and 6 crew on board, stalled and slid backwards. The locomotive engineer eventually brought the train under control but when he attempted to move forward again the locomotives could not develop traction and the train stopped. After a second unsuccessful attempt to move the train forward, the locomotive engineer was authorised by train control to set back to Otira where extra locomotive power was attached for the trip through the Otira Tunnel to Arthurs Pass. Contributing factors and safety issues identified included: the loss of traction experienced by the locomotives; the failure of the locomotive sanding equipment to operate correctly; a residue of coal dust and moisture on the railhead within the tunnel; the inability to establish radio communication between the locomotive engineer and train controller; the imbalance of axle weight distribution on locomotive DCP4801; the lack of filtering of locomotive sand; the loss of situational awareness by the locomotive engineer. Two safety recommendations were made to the Chief Executive of Toll NZ Consolidated Limited.","081/04, 082/04",Otira
RO-2004-110,"Wagon runaway, Owens siding, Onehunga industrial line, 5 April 2004",5 Apr 2004,25 May 2005,04-110,"The Transport Accident Investigation Commission is an independent Crown entity established to determine the circumstances and causes of accidents and incidents with a view to avoiding similar occurrences in the future. Accordingly it is inappropriate that reports should be used to assign fault or blame or determine liability, since neither the investigation nor the reporting process has been undertaken for that purpose. The Commission may make recommendations to improve transport safety. The cost of implementing any recommendation must always be balanced against its benefits. Such analysis is a matter for the regulator and the industry. These reports may be reprinted in whole or in part without charge, providing acknowledgement is made to the Transport Accident Investigation Commission","031/04, 075/04",Onehunga
RO-2004-111,"Express freight Train 736, track occupation irregularity leading to a near collision, Christchurch, 14 April 2004",14 Apr 2004,25 May 2005,04-111,"On Wednesday 14 April 2004, at 1504, Train 736, a Christchurch-Picton express freight service was signalled into the Christchurch-Belfast section of the Main North Line that was already occupied by a track maintenance gang. The occupation had been authorised by an outgoing train controller. Three track maintenance personnel had to take evasive action when the train passed through their worksite. There were no injuries or equipment damage. Safety issues identified included: the lack of forward planning on the train control diagram; the unintentional removal of a control block instead of a control tag from the section of track that was already occupied. Two safety recommendations have been made to the Chief Executive of New Zealand Railways Corporation to address these issues","005/05, 040/05",Christchurch
RO-2004-112,"Diesel multiple unit passenger Train 2146, fire in auxiliary engine, Boston Road, 16 April 2004",16 Apr 2004,25 May 2005,04-112,"On Friday, 16 April 2004, at about 1725, smoke was observed coming from beneath Train 2146 as it departed Newmarket. The train stopped at the next station, Boston Road. The passengers were evacuated and the fire was extinguished with the assistance of the New Zealand Fire Service. There were no injuries. The safety issues identified were: the fittings connecting the oil inlet hose to the engine and the turbocharger; the shroud panels surrounding the auxiliary engine. One safety recommendation was made to the Chief Executive of Auckland Regional Transport Authority",008/05,Newmarket
RO-2004-113,"Express freight Train 220 and empty truck and trailer, collision at farm access level crossing, 162.56 km between Maewa and Rangitawa, 27 April 2004",27 Apr 2004,15 Dec 2004,04-113,"On Tuesday 27 April 2004 at about 1605 hours, express freight Train 220 collided with the empty trailer of a fertiliser truck and trailer unit at a farm access level crossing between Maewa and Rangitawa on the North Island Main Trunk. The front bogie of the lead locomotive derailed and the truck and trailer unit was extensively damaged. One traction mast was knocked over and the overhead catenary brought down. The locomotive engineer and the truck driver both suffered minor injuries. The safety issues identified were: the legal status of the level crossing; the view lines at the level crossing; the available stacking distances for long road vehicles. Three safety recommendations were made to the Chief Executive of New Zealand Railways Corporation.","073/04, 074/04, 080/04",Maewa
RO-2004-116,"Passenger express Train 1605, fire in generator car, Carterton, 28 June 2004",28 Jun 2004,8 Sep 2005,04-116,"On Monday 28 June 2004, at about 0710, the power generator unit at the rear of passenger express Train 1605 caught fire as the train berthed at Carterton Station. The train manager expended one of 3 fire extinguishers carried on board the train to extinguish the fire. There were no injuries to passengers or crew. Safety issues identified included: the layout of the generator enclosure; the installation of the fire detection and suppression system. Three safety recommendations were made to the Chief Executive of Toll NZ Consolidated Limited to address these issues.","068/05, 069/05, 070/05",Carterton
RO-2004-118,"Express frieght Train 725, track occupation irregularity leading to a near collision, Tormore-Scargill, 20 July 2004.",20 Jul 2004,11 Aug 2005,04-118,"On Tuesday 20 July 2004, at 1345, Train 725, a Picton to Christchurch express freight service, was authorised to travel through the Tormore to Scargill section of the Main North Line that was already occupied by a track maintenance gang. Two track maintenance personnel had just completed their work and were stowing equipment on their vehicle parked trackside when the train travelled through their worksite. There were no injuries or equipment damage. Safety issues identified included: the certification process for trainee train controllers; conflicting documentation relating to safety buffer, clearance of occupations and safeguarding of positions when circumstances alter. Two safety recommendations have been made to the Chief Executive of ONTRACK to address these issues.","025/05, 026/06",Tormore
