id,tagline,occurrence,publication,lin,summary,recommendations,location
RO-1993-101,"Shunting locomotive DC412, collision with motor vehicle, Eltham, 5 April 1993",5 Apr 1993,11 Oct 1993,93-101,"On 5 April 1993 a motor vehicle travelling west on Bridge Street, Eltham, was struck by a southbound locomotive as it entered the Bridge Street level crossing. The driver and sole occupant of the motor vehicle was killed in the collision. The crossing was protected by warning lights and bells which were operating at the time of the accident.",NA,Eltham
RO-1993-102,"Electric Multiple Unit, struck pedestrian, near Petone, 16 April 1993",16 Apr 1993,11 Oct 1993,93-102,On 16 April 1993 a pedestrian walking at night on the railway line near Petone was struck and killed by an electric multiple unit. The accident occurred in an area where a previously existing walkway had been removed as a result of road widening. A safety recommendation that the walkway be restored was made to the roading authority.,049/93,Petone 
RO-1993-103,"Electric Multiple Unit 4622, collision with cyclist on platform, Wingate, 20 April 1993",20 Apr 1993,11 Oct 1993,93-103,"On 20 April 1993 as New Zealand Rail Limited's 1655 train from Wellington to Taita was approaching Wingate one of two children cycling on the station platform fell in front of the train and sustained serious injuries. As a result of the investigation recommendations were made to improve the promulgation of safety information to school children and to impede the free access, of cyclists and skaters, down uninterrupted sloping ramps into railway platforms.","023/93, 024/93, 025/93, 026/93, 027/93, 028/93, 029/93, 030/93",Wingate
RO-1993-104,"Express freight train B21, struck pedestrian, near Taumarunui, 22 May 1993",22 May 1993,11 Oct 1993,93-104,"On 22 May 1993 as the southbound express freight train from Westfield to Wellington rounded a bend near Taumarunui at dusk, the driver sighted a pedestrian on the tracks. The pedestrian lost his life when he was struck by the train.",NA,Taumarunui
RO-1993-105,"Express freight train DX5166, collision with motor vehicle, near Levin, 28 May 1993",28 May 1993,28 Jan 1994,93-105,"On 28 May 1993 a train collided with a motor vehicle on a level crossing near Levin. The driver, the sole occupant of the motor vehicle, was seriously injured. Safety issues discussed in the report are design criteria for level crossings adjacent to main road intersections and the display of warnings to motorists following the disablement of crossing warning devices.","055/93, 056/93, 057/93, 058/93",Levin
RO-1993-106,"Electric Multiple Unit 2767, struck pedestrian, Naenae Station, 10 June 1993",10 Jun 1993,11 Oct 1993,93-106,"On 10 June 1993 as the train approached Naenae Station at about 60 km/h, a man was seen running across the tracks. He was fatally injured when struck by the train.","035/93, 036/93",Naenae
RO-1993-108,"Shunting locomotive 20Y, struck pedestrian, Caversham Dunedin, 8 July 1993",8 Jul 1993,28 Jan 1994,93-108,On 8 July 1993 a shunting locomotive collided with a pedestrian who was walking along the tracks. No specific safety issues have been identified from the circumstances of this accident.,NA,Caversham
RO-1993-109,"Express freight train T141, collision with motor vehicle, Te Hana Northland, 19 July 1993",19 Jul 1993,28 Jan 1994,93-109,"On 19 July 1993 Train 141 collided with a motor vehicle at a level crossing at Te Hana, Northland. The crossing was protected by flashing lights and bells, which were confirmed to be operating at the time of the accident. The driver of the motor vehicle was killed in the collision and his passenger sustained serious injuries. A safety issue identified during the investigation was the restricted view of the road to the east of the crossing, which could have been a significant distraction for the driver as he emerged from a gateway adjacent to the crossing. It was recommended that an additional set of warning lights be added to the existing installation.",059/93,Te Hana
RO-1993-111,"Shunting locomotive L13, struck pedestrian, Ellerslie, 4 August 1993",4 Aug 1993,28 Jan 1994,93-111,"On 4 August 1993 a fatal injury was sustained by a pedestrian when he was struck by a light locomotive, L13 Shunt Service, operated by New Zealand Rail Limited near Ellerslie Station. The safety issue identified in this report is the increase in risk to pedestrians trespassing on the railway, resulting from improved track, suspension, and engine silencing in contemporary railway operation.",NA,Ellerslie
RO-1993-112,"Passenger express train Southerner DF6202, collision with motor vehicle, Rolleston Canterbury, 25 August 1993",25 Aug 1993,30 Mar 1994,93-112,"On 25 August 1993 Train 901 - the ""Southerner"" passenger express - collided with a concrete mixer truck on a level crossing at Rolleston. Three passengers on the train were fatally injured and seven seriously injured. The truck driver received minor injuries. [From findings and observations in the TAIC report: The truck driver had not noticed the crossing alarms before the collision, and did not see the approaching train until the collision was unavoidable. A number of factors could have contributed to the truck driver's failure to notice the crossing alarms, but the layout of the road intersection, and the need to consider conflicting traffic were probably the major influences. This accident has similar features to another accident investigated by the Commission, at Kimberley Road near Levin on 28 May, 1993. (Transport Accident Investigation Commission report 93-105). The Kimberley Road level crossing is also close to the intersection with the State Highway. There are many places throughout New Zealand where the railway runs parallel and adjacent to a major road, with the consequence that there is little room between the intersections with side roads and the level crossings. In many cases the gap between the intersection and the crossing is less than 20 metres, which is the legal maximum length of heavy truck and trailer combinations, so that such combinations must obstruct either the railway crossing or the intersection (or both) if they stop. For traffic turning from the main road towards the crossing, the distance is so short that it can be covered too quickly for some motorists to observe the crossing, react to any train approaching, and take action to avoid an accident. Report 93-112 drew attention to TAIC safety recommendations 056/93 and 057/93 made to Transit New Zealand in report 93-105.]","056/93, 057/93",Rolleston
